code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare,company,quarter,CFOToNP,netProfit_billions,quarter_order
000651.SZ,2024-04-30,2023-12-31,0.271759,0.135891,0.305687,27719022913.59,5.152779,174565470852.38,5631405741.0,5583149620.0,Gree,2023-Q4,2.034647,27.71902291359,2023-Q4
000651.SZ,2024-04-30,2024-03-31,0.039234,0.127613,0.294542,4640546489.68,5.25327,,5631405741.0,5583149620.0,Gree,2024-Q1,-0.633733,4.64054648968,2024-Q1
000651.SZ,2024-08-31,2024-06-30,0.120535,0.139179,0.304693,13887709317.03,5.412551,89943352922.09,5631405741.0,5565128245.0,Gree,2024-Q2,0.368827,13.887709317030001,2024-Q2
000651.SZ,2024-10-31,2024-09-30,0.180644,0.144592,0.302139,21214823423.24,5.48463,,5631405741.0,5545446256.0,Gree,2024-Q3,0.599224,21.214823423240002,2024-Q3
600690.SH,2024-03-28,2023-12-31,0.168548,0.064003,0.315092,16732069774.75,1.758467,260292715110.96,9438114893.0,6308552654.0,Haier,2023-Q4,1.509818,16.73206977475,2023-Q4
600690.SH,2024-04-30,2024-03-31,0.045285,0.070374,0.289546,4854201560.28,1.843327,,9438114893.0,6308552654.0,Haier,2024-Q1,0.355313,4.85420156028,2024-Q1
600690.SH,2024-08-28,2024-06-30,0.099597,0.078212,0.306115,10607323142.13,1.91288,134840839073.23,9438114893.0,6308552654.0,Haier,2024-Q2,0.737062,10.60732314213,2024-Q2
600690.SH,2024-10-30,2024-09-30,0.14242,0.076052,0.308457,15436312794.43,1.982546,,9384063334.0,6254501095.0,Haier,2024-Q3,0.898898,15.43631279443,2024-Q3
000333.SZ,2024-03-28,2023-12-31,0.220526,0.090704,0.264909,33745352000.0,4.799465,333060319000.0,7025769025.0,6892205935.0,Midea,2023-Q4,1.715869,33.745352,2023-Q4
000333.SZ,2024-04-30,2024-03-31,0.053671,0.085167,0.273202,9036321000.0,4.976085,,6968950724.0,6836340734.0,Midea,2024-Q1,1.541436,9.036321,2024-Q1
000333.SZ,2024-08-20,2024-06-30,0.12698,0.097302,0.270932,21141255000.0,5.199288,194900088000.0,6980151778.0,6847774704.0,Midea,2024-Q2,1.58402,21.141255,2024-Q2
000333.SZ,2024-10-31,2024-09-30,0.170532,0.100795,0.26756,32150982000.0,4.928743,,7649327712.0,6882357390.0,Midea,2024-Q3,1.874396,32.150982,2024-Q3
